id_run,Agency1a,Allocentrism1a,Coalition1a,Ethos1a,Exchange1a,Intentionality1a,Logos1a,Might1a,Network1a,Pathos1a,SA1a,Team1a,Agency3a,Allocentrism3a,Coalition3a,Ethos3a,Exchange3a,Intentionality3a,Logos3a,Might3a,Network3a,Pathos3a,SA3a,Team3a,Agency3,Allocentrism3,Coalition3,Ethos3,Exchange3,Intentionality3,Logos3,Might3,Network3,Pathos3,SA3,Team3,Agency1,Allocentrism1,Coalition1,Ethos1,Exchange1,Intentionality1,Logos1,Might1,Network1,Pathos1,SA1,Team1
59,2.4,3,2.666667,2.5,2.833333,3.166667,3,2,2.833333,2.5,2.666667,2,2.866667,3.185185,2.944444,2.555556,2.611111,3.37037,3.4,2.722222,2.888889,2.555556,3.074074,2.622222,9,56,54,9,29,64,61,48,15,7,49,29,5,33,39,34,56,54,23,18,33,23,19,5
60,3.2,2.666667,3.333333,3.5,2.666667,3.333333,2.8,2.833333,3.666667,3.166667,2.833333,3.6,3,2.833333,3.229167,3.40625,2.5625,3.125,3.05,2.541667,3.354167,2.854167,2.875,2.9,17,10,89,93,22,20,15,27,70,45,13,59,54,13,85,92,39,67,14,74,81,73,30,94
61,3,4,2.666667,2.5,3.166667,3.666667,3.4,2.333333,3,2.666667,3.166667,3,3.066667,3.347222,2.830986,2.8125,2.666667,3.25,3.283333,2.361111,3,2.861111,2.944444,2.883333,25,80,33,32,40,39,46,10,23,46,22,57,37,98,39,34,80,85,50,39,42,37,61,65
62,3,2.166667,1.666667,2.75,1.5,2.5,4,2.333333,2.333333,2.166667,2.5,1.4,3.2,2.933333,3.050848,3.05,2.566667,3.233333,3.44,3.116667,2.783333,2.666667,3.116667,2.58,44,20,68,63,23,36,69,90,11,20,58,24,37,1,1,53,0,6,93,39,10,5,11,0
63,3.2,3.166667,3,2.5,3,3.166667,3.2,3.166667,3,3.166667,2.666667,3,3.15,2.666667,2.782609,2.8125,2.708333,3.125,3.05,2.875,3.041667,2.958333,3.083333,3.05,35,2,25,32,49,20,15,69,30,61,50,78,54,50,65,34,71,54,38,89,42,73,19,65
64,3.6,3.333333,3,2.25,2.666667,3.5,4,3,2.333333,3.5,3.333333,3.2,3.031915,3.078947,3,3.052632,3.00885,3.185841,3.159575,2.848214,3.464912,2.973451,3.017857,2.829787,20,39,61,65,87,30,27,66,85,64,37,53,81,66,65,19,39,77,93,82,10,86,75,75
65,3.4,2.833333,2.833333,3.25,3.166667,2.666667,3.2,2,3.166667,3,2.333333,3.2,3.418182,3.166667,3.136364,3.5,2.907692,3.181818,3.472727,2.984848,3.590909,3.242424,3.106061,2.981818,76,51,81,96,78,29,75,84,92,94,56,71,69,24,51,81,80,14,38,18,52,64,2,75
66,3.6,3.333333,2.333333,2.75,2.666667,2.833333,2.6,2.333333,2.166667,2.666667,3.166667,3.2,,,,,,,,,,,,,,,,,,,,,,,,,81,66,18,53,39,23,6,39,5,37,61,75
67,3.2,3.5,3.833333,2.75,3.5,3.4,3.2,2.5,3.666667,3.5,3.166667,3.2,3.6,3.547619,3.357143,3.142857,3.238095,3.5,3.428571,2.976191,3.380952,3.023809,3.452381,3,94,97,96,74,97,85,67,83,73,72,97,72,54,80,97,53,92,76,38,53,81,86,61,75
68,2.6,3,2.666667,2,2,2.5,2.6,2.333333,3,2.666667,3,2.8,2.2,2.833333,3,3.166667,2.722222,2.611111,2.533333,2.666667,3.166667,2.944444,2.888889,2.6,0,10,61,76,50,0,0,41,43,59,15,25,13,33,39,10,3,6,6,39,42,37,47,47
69,2.6,2.166667,2.166667,2.25,2.833333,3,3.2,3,2.833333,2.666667,2.166667,2.8,3,3.1,2.8,2.85,2.766667,3.533333,3.28,2.533333,3,2.966667,2.7,3.32,17,41,29,40,56,92,45,27,23,61,4,96,13,1,12,19,56,38,38,82,33,37,1,47
70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,2.8,2.166667,2.5,3,2.333333,2.833333,3.4,2.5,2.166667,3,2.666667,2.2,3.05,3.041667,2.916667,3.125,2.354167,3.270833,3.275,2.729167,2.916667,2.729167,2.958333,2.575,23,35,48,71,2,44,42,50,17,27,26,23,23,1,29,68,14,23,50,53,5,64,19,10
72,3.6,3.166667,2.5,2.5,2.666667,3.833333,3.8,3,3.333333,3.166667,3.333333,3,3.454545,3,2.818182,2.772727,2.484848,3.484848,3.462963,2.590909,3.060606,3,3.166667,2.611111,82,28,32,27,11,84,74,34,32,69,65,28,81,50,29,34,39,93,80,82,64,73,75,65
73,2.8,3,2.5,2.5,2.333333,2.666667,3,2.833333,3.333333,2.666667,2.333333,3,2.914286,2.952381,2.714286,2.642857,2.595238,3.309524,3.228571,2.642857,2.833333,2.571429,3.047619,2.371428,11,23,16,17,28,49,35,40,12,10,43,8,23,33,29,34,14,14,23,74,64,37,2,65
74,3.4,3.333333,2.833333,2.25,2.166667,3.333333,3,2.333333,3.166667,3.166667,3.166667,3.2,3.488889,3.62963,3.240741,3.222222,2.888889,3.648148,3.6,3.092592,3.518518,3.203704,3.425926,3.177778,89,99,90,82,75,99,91,90,87,89,96,88,69,66,51,19,8,67,23,39,52,73,61,75
75,3.2,2.666667,2,2.25,2,2.833333,3,2.666667,2.166667,2.666667,3.166667,2.2,2.95,2.875,2.75,2.96875,2.375,3.25,3.375,3.020833,2.791667,2.708333,2.916667,2.175,14,14,19,57,3,39,59,86,11,24,18,2,54,13,3,19,3,23,23,62,5,37,61,10
76,3.8,2.833333,3.166667,3.25,2.666667,3.5,3.8,3.166667,2.5,3.166667,3.166667,3.2,3.145455,2.969697,2.727273,2.840909,2.287879,3.378788,3.272727,2.590909,2.861538,2.738461,3.015152,2.563636,35,26,17,38,1,66,42,34,14,29,36,21,89,24,79,81,39,77,80,89,17,73,61,75
77,3.6,2.833333,3.166667,3.5,2.666667,3.833333,3.6,2.833333,3.666667,2.5,2.666667,2.2,3.446154,2.641026,2.641026,3.384615,2.576923,3.358974,3.092308,3.166667,3.25641,2.846154,2.807692,2.753846,81,1,8,92,25,61,20,94,54,43,10,43,81,24,79,92,39,93,64,74,81,23,19,10
78,2.6,2.833333,2,2.5,2.666667,3,3,1.666667,2.833333,2,2.833333,2.6,3.317647,3.294118,2.95098,3.044118,2.872549,3.352941,3.341177,2.764706,3.294118,3.029412,3.27451,2.97647,63,72,55,63,73,60,54,54,61,73,85,70,13,24,3,34,39,38,23,6,33,1,30,34
79,3.6,3,3.166667,3,3.333333,3.166667,3.2,2.666667,3.333333,3,3.166667,2.8,3.577778,3.314815,3.111111,2.805556,2.962963,3.62963,3.422222,2.833333,3.351852,2.759259,3.444444,2.977778,93,75,79,31,84,98,65,63,69,31,97,71,81,33,79,68,88,54,38,62,64,64,61,47
80,3,3,3,2.5,3,3,2.8,1.833333,3.333333,2.333333,2.333333,2.4,2.742857,3.095238,2.976191,2.964286,2.785714,3.166667,3,2.560976,3.333333,2.829268,2.809524,2.685714,3,40,59,56,60,25,13,29,67,42,10,36,37,33,65,34,71,38,14,10,64,12,2,22
81,3.4,3.5,2.833333,1.75,2.833333,2.166667,2.4,1.833333,3,2.5,3.2,3.2,3.3,3.458333,3.0625,2.625,2.958333,3.229167,3.25,2.5,3.458333,3.0625,3.125,3.3,59,91,70,13,83,35,38,20,83,76,61,95,69,80,51,3,56,2,2,10,42,23,74,75
82,3.8,3,2.833333,2.25,3.833333,3.666667,3.6,1.333333,3.5,2.666667,3.166667,3.2,3.257143,3.166667,2.809524,2.892857,2.690476,3.380952,3.228571,2.714286,3.166667,2.880952,3.071429,2.657143,52,51,30,46,46,67,35,47,43,50,47,31,89,33,51,19,98,85,64,1,72,37,61,75
