id_run,Agency1a,Allocentrism1a,Coalition1a,Ethos1a,Exchange1a,Intentionality1a,Logos1a,Might1a,Network1a,Pathos1a,SA1a,Team1a,Agency3a,Allocentrism3a,Coalition3a,Ethos3a,Exchange3a,Intentionality3a,Logos3a,Might3a,Network3a,Pathos3a,SA3a,Team3a,Agency3,Allocentrism3,Coalition3,Ethos3,Exchange3,Intentionality3,Logos3,Might3,Network3,Pathos3,SA3,Team3,Agency1,Allocentrism1,Coalition1,Ethos1,Exchange1,Intentionality1,Logos1,Might1,Network1,Pathos1,SA1,Team1
49,3.6,3,3,1.75,2.333333,3,2.8,2.666667,2,2.666667,3.5,2.2,3.514286,3.190476,2.880952,2.928571,2.571429,3.476191,3.514286,3,3.02439,2.976191,3.452381,2.6,91,59,42,50,18,81,81,80,26,60,97,18,80,32,66,3,19,39,18,62,3,31,87,12
50,3,3.5,2.333333,1.75,3.333333,2.5,3.6,2,2.6,3.666667,3.166667,3.2,2.542857,2.780488,2.5,2.5,2.452381,2.714286,2.942857,2.095238,2.452381,2.642857,2.785714,2.2,1,6,0,5,8,2,10,1,0,10,9,1,40,80,17,3,89,7,67,20,28,95,63,74
51,2.2,2.666667,2.333333,2.5,2.666667,2.833333,3.2,3,3.166667,2.833333,2.833333,2,3,2.861111,2.777778,3.125,2.361111,3,2.7,2.861111,3.194444,2.722222,2.527778,2.5,17,11,21,70,2,8,2,65,48,23,0,10,2,12,17,40,39,22,42,81,56,53,30,4
52,3.4,3.666667,2.833333,2.5,1.333333,3.166667,2.8,2.333333,3.5,2.666667,3.166667,2.4,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,68,92,53,40,0,55,18,41,78,31,63,23
53,3,3,2.333333,3,2.333333,3.5,3.4,3,1.833333,2.666667,3.166667,2,3.276923,3.179487,2.884615,2.711539,2.551282,3.525641,3.753846,3,2.705128,2.858974,3.294872,2.523077,53,54,44,21,16,90,99,80,5,41,85,12,40,32,17,70,19,80,54,81,2,31,63,4
54,3.2,3.666667,3.666667,2.5,3.333333,3.833333,3.4,2,3.833333,2.333333,3.5,3,3.175,3.3125,2.958333,2.6875,2.666667,3.1875,3.125,2.833333,3.1875,2.8125,3.104167,2.8,38,74,53,17,34,29,23,60,47,35,54,41,55,92,94,40,89,94,54,20,92,11,87,63
55,3.2,3,2,2.25,2.166667,2.666667,3.2,1.833333,2.5,2.666667,3,2.2,3.6,3.383333,3.084746,3.175,2.8,3.4,3.56,2.883333,3.216667,3.35,3.316667,2.836735,96,83,74,79,60,70,88,69,50,98,89,47,55,32,4,20,10,15,42,10,19,31,50,12
56,3.6,2.833333,3.333333,2.75,2.833333,3,2.4,2.833333,3.5,2.666667,2.833333,3.6,3.088889,2.962963,2.87037,2.916667,2.444444,3.296296,3.2,2.777778,3.037037,2.722222,2.981482,2.6,28,23,41,49,6,48,30,51,28,23,29,18,80,23,85,60,61,39,4,73,78,31,30,91
57,2,2.333333,2.333333,2.5,2.833333,2.333333,2.6,2.666667,2,2.333333,3,2.2,2.846154,2.958333,3.191489,2.6875,2.957447,3.125,3.075,2.770833,3.083333,2.75,3.1875,2.7,9,23,84,17,82,18,19,51,36,28,68,28,0,4,17,40,61,4,9,62,3,11,50,12
58,2.8,2.666667,2.666667,2.75,2.5,2.833333,2.4,2.5,3.333333,2.166667,2.5,3.2,3,2.875,2.680851,2.3125,2.8125,2.833333,2.625,2.333333,3.333333,2.375,2.604167,2.725,17,12,8,2,61,4,1,7,68,0,0,31,23,12,41,60,28,22,4,54,70,5,9,74
59,2.4,3,2.666667,2.5,2.833333,3.166667,3,2,2.833333,2.5,2.666667,2,2.866667,3.185185,2.944444,2.555556,2.611111,3.37037,3.4,2.722222,2.888889,2.555556,3.074074,2.622222,10,56,52,7,24,63,61,48,15,2,47,21,5,32,41,40,61,55,26,20,36,20,20,4
60,3.2,2.666667,3.333333,3.5,2.666667,3.333333,2.8,2.833333,3.666667,3.166667,2.833333,3.6,3,2.833333,3.229167,3.40625,2.5625,3.125,3.05,2.541667,3.354167,2.854167,2.875,2.9,17,9,88,94,17,18,15,27,73,40,15,55,55,12,85,92,39,68,18,73,85,73,30,91
61,3,4,2.666667,2.5,3.166667,3.666667,3.4,2.333333,3,2.666667,3.166667,3,3.066667,3.347222,2.830986,2.8125,2.666667,3.25,3.283333,2.361111,3,2.861111,2.944444,2.883333,24,78,31,32,34,37,43,9,23,41,21,52,40,98,41,40,80,87,54,41,45,31,63,63
62,3,2.166667,1.666667,2.75,1.5,2.5,4,2.333333,2.333333,2.166667,2.5,1.4,3.2,2.933333,3.050848,3.05,2.566667,3.233333,3.44,3.116667,2.783333,2.666667,3.116667,2.58,39,18,69,63,18,34,70,90,9,14,58,17,40,1,0,60,0,7,93,41,14,5,9,0
63,3.2,3.166667,3,2.5,3,3.166667,3.2,3.166667,3,3.166667,2.666667,3,3.15,2.666667,2.782609,2.8125,2.708333,3.125,3.05,2.875,3.041667,2.958333,3.083333,3.05,35,2,23,32,42,18,15,67,29,54,48,77,55,54,66,40,71,55,42,89,45,73,20,63
64,3.6,3.333333,3,2.25,2.666667,3.5,4,3,2.333333,3.5,3.333333,3.2,3.031915,3.078947,3,3.052632,3.00885,3.185841,3.159575,2.848214,3.464912,2.973451,3.017857,2.829787,20,35,59,65,89,28,26,63,84,60,36,46,80,69,66,20,39,80,93,81,14,90,76,74
65,3.4,2.833333,2.833333,3.25,3.166667,2.666667,3.2,2,3.166667,3,2.333333,3.2,3.418182,3.166667,3.136364,3.5,2.907692,3.181818,3.472727,2.984848,3.590909,3.242424,3.106061,2.981818,77,50,79,96,78,27,76,79,94,91,56,70,68,23,53,82,80,15,42,20,56,63,1,74
66,3.6,3.333333,2.333333,2.75,2.666667,2.833333,2.6,2.333333,2.166667,2.666667,3.166667,3.2,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,80,69,17,60,39,22,9,41,8,31,63,74
67,3.2,3.5,3.833333,2.75,3.5,3.4,3.2,2.5,3.666667,3.5,3.166667,3.2,3.6,3.547619,3.357143,3.142857,3.238095,3.5,3.428571,2.976191,3.380952,3.023809,3.452381,3,96,97,98,72,98,84,68,79,75,69,97,70,55,80,99,60,94,79,42,54,85,90,63,74
68,2.6,3,2.666667,2,2,2.5,2.6,2.333333,3,2.666667,3,2.8,2.2,2.833333,3,3.166667,2.722222,2.611111,2.533333,2.666667,3.166667,2.944444,2.888889,2.6,0,9,59,76,44,1,0,41,44,52,16,18,14,32,41,8,5,7,9,41,45,31,50,47
69,2.6,2.166667,2.166667,2.25,2.833333,3,3.2,3,2.833333,2.666667,2.166667,2.8,3,3.1,2.8,2.85,2.766667,3.533333,3.28,2.533333,3,2.966667,2.7,3.32,17,38,26,38,53,91,42,26,23,56,2,92,14,1,10,20,61,39,42,81,36,31,0,47
70,,,,,,,,,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
71,2.8,2.166667,2.5,3,2.333333,2.833333,3.4,2.5,2.166667,3,2.666667,2.2,3.05,3.041667,2.916667,3.125,2.354167,3.270833,3.275,2.729167,2.916667,2.729167,2.958333,2.575,21,31,47,70,1,44,41,49,17,25,26,17,23,1,31,70,19,22,54,54,8,63,20,12
72,3.6,3.166667,2.5,2.5,2.666667,3.833333,3.8,3,3.333333,3.166667,3.333333,3,3.454545,3,2.818182,2.772727,2.484848,3.484848,3.462963,2.590909,3.060606,3,3.166667,2.611111,83,26,31,26,10,83,74,30,31,63,64,20,80,54,31,40,39,94,78,81,70,73,76,63
73,2.8,3,2.5,2.5,2.333333,2.666667,3,2.833333,3.333333,2.666667,2.333333,3,2.914286,2.952381,2.714286,2.642857,2.595238,3.309524,3.228571,2.642857,2.833333,2.571429,3.047619,2.371428,13,21,12,14,21,49,33,37,11,4,39,6,23,32,31,40,19,15,26,73,70,31,1,63
74,3.4,3.333333,2.833333,2.25,2.166667,3.333333,3,2.333333,3.166667,3.166667,3.166667,3.2,3.488889,3.62963,3.240741,3.222222,2.888889,3.648148,3.6,3.092592,3.518518,3.203704,3.425926,3.177778,89,99,89,83,73,98,92,88,88,86,96,87,68,69,53,20,10,68,26,41,56,73,63,74
75,3.2,2.666667,2,2.25,2,2.833333,3,2.666667,2.166667,2.666667,3.166667,2.2,2.95,2.875,2.75,2.96875,2.375,3.25,3.375,3.020833,2.791667,2.708333,2.916667,2.175,14,12,16,53,2,37,60,82,9,21,19,1,55,12,4,20,5,22,26,62,8,31,63,12
76,3.8,2.833333,3.166667,3.25,2.666667,3.5,3.8,3.166667,2.5,3.166667,3.166667,3.2,3.145455,2.969697,2.727273,2.840909,2.287879,3.378788,3.272727,2.590909,2.861538,2.738461,3.015152,2.563636,35,25,13,37,0,66,41,30,13,27,35,15,91,23,76,82,39,80,78,89,19,73,63,74
77,3.6,2.833333,3.166667,3.5,2.666667,3.833333,3.6,2.833333,3.666667,2.5,2.666667,2.2,3.446154,2.641026,2.641026,3.384615,2.576923,3.358974,3.092308,3.166667,3.25641,2.846154,2.807692,2.753846,82,0,4,93,20,60,20,93,57,39,10,37,80,23,76,92,39,94,67,73,85,20,20,12
78,2.6,2.833333,2,2.5,2.666667,3,3,1.666667,2.833333,2,2.833333,2.6,3.317647,3.294118,2.95098,3.044118,2.872549,3.352941,3.341177,2.764706,3.294118,3.029412,3.27451,2.97647,61,71,53,62,72,59,55,50,62,71,80,69,14,23,4,40,39,39,26,6,36,1,30,35
79,3.6,3,3.166667,3,3.333333,3.166667,3.2,2.666667,3.333333,3,3.166667,2.8,3.577778,3.314815,3.111111,2.805556,2.962963,3.62963,3.422222,2.833333,3.351852,2.759259,3.444444,2.977778,95,75,77,31,83,98,66,60,72,29,97,69,80,32,76,70,89,55,42,62,70,63,63,47
80,3,3,3,2.5,3,3,2.8,1.833333,3.333333,2.333333,2.333333,2.4,2.742857,3.095238,2.976191,2.964286,2.785714,3.166667,3,2.560976,3.333333,2.829268,2.809524,2.685714,5,36,56,53,57,24,12,28,68,36,10,26,40,32,66,40,71,39,18,10,70,11,1,23
